"variable","construct","role","source","calculation","scale_units","direction","missing_data_rule","status","analysis_priority","major_caveat"
"study_id","identifier","key","deidentified workbook","Sequential stable study identifier","integer","none","required","working","primary","Private participant key"
"demo_yrs","demographics","covariate","deidentified workbook","Imported age in years","years","higher older","source missing retained","working","primary","Self-report"
"demo_gender","demographics","covariate","deidentified workbook","Imported gender category","category","none","source missing retained","working","primary","Category coding requires analyst review"
"demo_sab","demographics","covariate","deidentified workbook","Imported sex assigned at birth","category","none","source missing retained","working","primary","Self-report"
"demo_race","demographics","covariate","deidentified workbook","Imported race category","category","none","source missing retained","working","primary","Collapsed source categories"
"demo_eth","demographics","covariate","deidentified workbook","Imported ethnicity category","category","none","source missing retained","working","primary","Self-report"
"demo_quota","demographics","descriptor","deidentified workbook","Imported sampling quota","category","none","source missing retained","working","diagnostic","Study-specific field"
"region","geography","descriptor","deidentified workbook","Imported broad region","category","none","source missing retained","working","diagnostic","Not a precise geocode"
"demo_zip_prim_yr","geography","linkage input","deidentified workbook","Normalized current five-digit ZIP","ZIP code","none","invalid ZIP set missing","working","primary","Private participant geography"
"ses_edu","socioeconomic status","covariate","deidentified workbook","Imported education category","category","higher generally more education","source missing retained","working","primary","Ordinal interpretation requires review"
"ses_yoe","socioeconomic status","covariate","deidentified workbook","Imported years of education","years","higher more education","source missing retained","working","primary","Self-report"
"ses_thi","socioeconomic status","covariate","deidentified workbook","Imported household income category","category","higher generally more income","source missing retained","working","primary","Ordinal bands"
"ses_tpi","socioeconomic status","descriptor","deidentified workbook","Imported personal income category","category","higher generally more income","source missing retained","working","diagnostic","Ordinal bands"
"ses_rentown","socioeconomic status","descriptor","deidentified workbook","Imported housing tenure","category","none","source missing retained","working","diagnostic","Self-report"
"ses_hhr","socioeconomic status","descriptor","deidentified workbook","Imported household residents","people","higher larger household","source missing retained","working","diagnostic","Self-report"
"fevs_total","financial vulnerability","outcome","deidentified workbook","Complete sum of FEVS items","0-18","higher greater vulnerability","complete-item scoring","working","primary","Independent scientific validation pending"
"ecog_total","everyday cognition","outcome","deidentified workbook","Available-item mean per documented rule","1-4","higher greater perceived decline","requires documented answered-item threshold","working","primary","Eight participants unscored"
"ecog_items_answered","everyday cognition","quality indicator","deidentified workbook","Count of answered eCog items","count","higher more complete","no imputation","working","diagnostic","Not an outcome"
"susd_depression","depressive symptoms","outcome","deidentified workbook","Complete sum of depression items","0-21","higher more symptoms","complete-item scoring","working","primary","Scale interpretation pending analyst review"
"susd_mania","mania symptoms","outcome","deidentified workbook","Complete sum of mania items","0-21","higher more symptoms","complete-item scoring","working","primary","Scale interpretation pending analyst review"
"uclal_total","loneliness","outcome","deidentified workbook","Complete sum of three loneliness items","3-9","higher more loneliness","complete-item scoring","working","primary","Short form"
"mspss_total","social support","outcome","deidentified workbook","Mean of all MSPSS items","1-7","higher more support","complete-item scoring","working","primary","Self-report"
"mspss_significant_other","social support","subscale","deidentified workbook","Mean of significant-other items","1-7","higher more support","complete-item scoring","working","secondary","Subscale"
"mspss_family","social support","subscale","deidentified workbook","Mean of family items","1-7","higher more support","complete-item scoring","working","secondary","Subscale"
"mspss_friends","social support","subscale","deidentified workbook","Mean of friends items","1-7","higher more support","complete-item scoring","working","secondary","Subscale"
"ntb_total","need to belong","outcome","deidentified workbook","Complete sum after documented reversals","10-50","higher greater need to belong","complete-item scoring","working","primary","Independent scientific validation pending"
"ntb_mean","need to belong","alternate outcome","deidentified workbook","Item mean corresponding to ntb_total","1-5","higher greater need to belong","complete-item scoring","working","secondary","Redundant with total"
"oafem_weighted_total","older-adult financial exploitation","outcome","deidentified workbook","Weighted 30-item OAFEM sum","0-124","higher greater exploitation exposure","requires all 30 ratings","working","primary","Seven participants unscored"
"oafem_unweighted_complete","older-adult financial exploitation","alternate outcome","deidentified workbook","Count of affirmative complete items","0-30","higher more endorsed events","requires all 30 ratings","working","secondary","Ignores severity weights"
"oafem_items_rated","older-adult financial exploitation","quality indicator","deidentified workbook","Count of rated OAFEM items","0-30","higher more complete","no imputation","working","diagnostic","Not an outcome"
"ctb_mean","temporal discounting","outcome","deidentified workbook","Mean of 24 coded choices","1-6","higher more delayed-reward choice","requires documented valid trials","working","primary","Direction should be independently confirmed"
"ctb_today_5wk","temporal discounting","subscale","deidentified workbook","Mean of today versus 5-week trials","1-6","higher more delayed-reward choice","documented trial rule","working","secondary","Choice coding"
"ctb_today_9wk","temporal discounting","subscale","deidentified workbook","Mean of today versus 9-week trials","1-6","higher more delayed-reward choice","documented trial rule","working","secondary","Choice coding"
"ctb_5wk_10wk","temporal discounting","subscale","deidentified workbook","Mean of 5-week versus 10-week trials","1-6","higher more delayed-reward choice","documented trial rule","working","secondary","Choice coding"
"ctb_5wk_14wk","temporal discounting","subscale","deidentified workbook","Mean of 5-week versus 14-week trials","1-6","higher more delayed-reward choice","documented trial rule","working","secondary","Choice coding"
